game_id,season,week,gameday,game_type,away_team,home_team,away_score,home_score,winner,spread_line,away_moneyline,home_moneyline
2025_01_DAL_PHI,2025,1,2025-09-04,REG,DAL,PHI,20.0,24.0,PHI,8.5,330.0,-425.0
2025_01_KC_LAC,2025,1,2025-09-05,REG,KC,LAC,21.0,27.0,LAC,-3.0,-175.0,145.0
2025_01_TB_ATL,2025,1,2025-09-07,REG,TB,ATL,23.0,20.0,TB,-1.5,-115.0,-105.0
2025_01_CIN_CLE,2025,1,2025-09-07,REG,CIN,CLE,17.0,16.0,CIN,-5.5,-238.0,195.0
2025_01_MIA_IND,2025,1,2025-09-07,REG,MIA,IND,8.0,33.0,IND,1.5,-108.0,-112.0
2025_01_CAR_JAX,2025,1,2025-09-07,REG,CAR,JAX,10.0,26.0,JAX,4.5,170.0,-205.0
2025_01_LV_NE,2025,1,2025-09-07,REG,LV,NE,20.0,13.0,LV,2.5,130.0,-155.0
2025_01_ARI_NO,2025,1,2025-09-07,REG,ARI,NO,20.0,13.0,ARI,-6.0,-270.0,220.0
2025_01_PIT_NYJ,2025,1,2025-09-07,REG,PIT,NYJ,34.0,32.0,PIT,-3.0,-155.0,130.0
2025_01_NYG_WAS,2025,1,2025-09-07,REG,NYG,WAS,6.0,21.0,WAS,6.0,240.0,-298.0
2025_01_TEN_DEN,2025,1,2025-09-07,REG,TEN,DEN,12.0,20.0,DEN,8.5,350.0,-455.0
2025_01_SF_SEA,2025,1,2025-09-07,REG,SF,SEA,17.0,13.0,SF,-2.5,-135.0,114.0
2025_01_DET_GB,2025,1,2025-09-07,REG,DET,GB,13.0,27.0,GB,1.5,100.0,-120.0
2025_01_HOU_LA,2025,1,2025-09-07,REG,HOU,LA,9.0,14.0,LA,3.5,140.0,-166.0
2025_01_BAL_BUF,2025,1,2025-09-07,REG,BAL,BUF,40.0,41.0,BUF,-1.5,-130.0,110.0
2025_01_MIN_CHI,2025,1,2025-09-08,REG,MIN,CHI,27.0,24.0,MIN,-1.5,-112.0,-108.0
