,,,,,,,,,,,,,,,,,,,,,,
Players,Rank,Score,Win,Loss,Week 18,Week 17,Week 16,Week 15,Week 14,Week 13,Week 12,Week 11,Week 10,Week 9,Week 8,Week 7,Week 6,Week 5,Week 4,Week 3,Week 2,Week 1
Erik 👑,1,89%,16,2,Las Vegas Raiders,New Orleans Saints,Houston Texans,Philadelphia Eagles,Seattle Seahawks,San Francisco 49ers,Baltimore Ravens,New England Patriots,Detroit Lions,Los Angeles Rams,Indianapolis Colts,Carolina Panthers,Denver Broncos,New York Giants,Los Angeles Chargers,Tampa Bay Buccaneers,Buffalo Bills,Arizona Cardinals
Nick,2,89%,16,2,Kansas City Chiefs,Cincinnati Bengals,Chicago Bears,Jacksonville Jaguars,Philadelphia Eagles,Denver Broncos,Seattle Seahawks,Green Bay Packers,Indianapolis Colts,Los Angeles Rams,Tampa Bay Buccaneers,New England Patriots,Los Angeles Chargers,Detroit Lions,Houston Texans,Buffalo Bills,Dallas Cowboys,Washington Commanders
Trish,3,83%,15,3,Dallas Cowboys,New England Patriots,Kansas City Chiefs,Philadelphia Eagles,Denver Broncos,Los Angeles Chargers,Detroit Lions,Pittsburgh Steelers,Carolina Panthers,Baltimore Ravens,Buffalo Bills,Cleveland Browns,Los Angeles Rams,Indianapolis Colts,Houston Texans,Seattle Seahawks,San Francisco 49ers,Jacksonville Jaguars
Des,4,83%,15,3,Jacksonville Jaguars,Detroit Lions,Houston Texans,San Francisco 49ers,Buffalo Bills,Seattle Seahawks,Baltimore Ravens,Green Bay Packers,Carolina Panthers,Los Angeles Chargers,Cincinnati Bengals,Chicago Bears,New England Patriots,Indianapolis Colts,Denver Broncos,Tampa Bay Buccaneers,Los Angeles Rams,Arizona Cardinals
Dave Swan,5,78%,14,4,San Francisco 49ers,Cincinnati Bengals,Philadelphia Eagles,San Francisco 49ers,Tampa Bay Buccaneers,Jacksonville Jaguars,Seattle Seahawks,Baltimore Ravens,Denver Broncos,Los Angeles Rams,Kansas City Chiefs,Pittsburgh Steelers,New England Patriots,Detroit Lions,Green Bay Packers,Buffalo Bills,Arizona Cardinals,Washington Commanders
Luke,6,78%,14,4,Las Vegas Raiders,New York Giants,New Orleans Saints,Carolina Panthers,Washington Commanders,Miami Dolphins,Detroit Lions,San Francisco 49ers,Seattle Seahawks,Green Bay Packers,Atlanta Falcons,Cleveland Browns,New England Patriots,Indianapolis Colts,Buffalo Bills,Tampa Bay Buccaneers,Los Angeles Rams,Denver Broncos
Nancy,7,78%,14,4,Cleveland Browns,Los Angeles Rams,Philadelphia Eagles,Houston Texans,Tampa Bay Buccaneers,Jacksonville Jaguars,Baltimore Ravens,Pittsburgh Steelers,Carolina Panthers,Los Angeles Chargers,Atlanta Falcons,New England Patriots,Green Bay Packers,Indianapolis Colts,Buffalo Bills,Seattle Seahawks,Arizona Cardinals,Denver Broncos
Marcy,8,72%,13,5,San Francisco 49ers,Los Angeles Rams,Houston Texans,Jacksonville Jaguars,Seattle Seahawks,Tampa Bay Buccaneers,Detroit Lions,Pittsburgh Steelers,Chicago Bears,New England Patriots,Cincinnati Bengals,Denver Broncos,Las Vegas Raiders,Indianapolis Colts,Green Bay Packers,Kansas City Chiefs,Buffalo Bills,Cleveland Browns
Danny,9,72%,13,5,Arizona Cardinals,Tampa Bay Buccaneers,Buffalo Bills,Philadelphia Eagles,Washington Commanders,Jacksonville Jaguars,Cleveland Browns,San Francisco 49ers,Chicago Bears,New England Patriots,Cincinnati Bengals,Chicago Bears,Los Angeles Chargers,Dallas Cowboys,Miami Dolphins,Indianapolis Colts,Los Angeles Rams,Denver Broncos
Todd,10,72%,13,5,Cleveland Browns,Los Angeles Rams,Detroit Lions,Jacksonville Jaguars,Tampa Bay Buccaneers,Los Angeles Chargers,Green Bay Packers,Pittsburgh Steelers,Carolina Panthers,New England Patriots,Cincinnati Bengals,Denver Broncos,Las Vegas Raiders,Indianapolis Colts,Houston Texans,Seattle Seahawks,San Francisco 49ers,Washington Commanders
Ben,11,72%,13,5,Philadelphia Eagles,Pittsburgh Steelers,New Orleans Saints,San Francisco 49ers,Baltimore Ravens,Los Angeles Chargers,Detroit Lions,Houston Texans,Chicago Bears,Green Bay Packers,Indianapolis Colts,Cleveland Browns,Kansas City Chiefs,Arizona Cardinals,Buffalo Bills,Seattle Seahawks,Los Angeles Rams,Denver Broncos
Grandma,12,72%,13,5,Cleveland Browns,Philadelphia Eagles,New England Patriots,Houston Texans,Kansas City Chiefs,Jacksonville Jaguars,Detroit Lions,Pittsburgh Steelers,Carolina Panthers,Los Angeles Rams,Cincinnati Bengals,Green Bay Packers,Denver Broncos,Indianapolis Colts,Los Angeles Chargers,Minnesota Vikings,Buffalo Bills,Denver Broncos
